IP,DNS,NetBIOS,OS,QID,Title,Type,Severity,Port,Protocol,CVE ID,CVSS Base,CVSS3 Base,Threat,Impact,Solution,First Found,Last Found,Category
10.10.1.20,db-prod-01.meridian.gov,DB-PROD-01,Linux,86243,NTP Amplification Attack,Vulnerability,3,123,UDP,,5.0,5.3,The NTP server is configured to respond to monlist queries which can be used as an amplifier in DDoS attacks.,Participation in DDoS attacks.,Disable the monlist feature in ntpd configuration.,2025-10-01,2026-05-27,Firewalls
10.10.1.20,db-prod-01.meridian.gov,DB-PROD-01,Linux,42411,SSL/TLS Server Supports RC4 Cipher,Vulnerability,3,5432,TCP,,4.3,5.9,The server supports the RC4 stream cipher which is known to have statistical biases.,Decryption of encrypted traffic.,Disable RC4 cipher suite support.,2025-11-01,2026-05-27,General remote services
10.10.0.5,bastion-01.meridian.gov,BASTION-01,Linux,38685,Secure Shell (SSH) Protocol Version 1 Supported,Vulnerability,5,22,TCP,,10.0,9.8,The remote SSH daemon supports connections made using the version 1 of the SSH protocol.,Remote code execution and man-in-the-middle attacks.,Disable SSH protocol version 1 and use version 2 only.,2026-03-01,2026-05-27,General remote services
10.10.0.5,bastion-01.meridian.gov,BASTION-01,Linux,197604,SSH Server Accepts Keyboard-Interactive Authentication,Vulnerability,2,22,TCP,,4.0,5.3,The remote SSH server allows keyboard-interactive authentication. This can allow brute-force attacks.,Unauthorized access.,Disable keyboard-interactive authentication and use only public key authentication.,2026-01-01,2026-05-27,General remote services
10.10.0.5,bastion-01.meridian.gov,BASTION-01,Linux,26928,SNMP Agent Default Community Names,Vulnerability,3,161,UDP,,5.0,5.3,The remote SNMP service uses the default community string 'public'.,Information disclosure and system configuration changes.,Change the default SNMP community string to a unique value.,2025-09-01,2026-05-27,Firewalls
10.10.2.50,app-dev-01.meridian.gov,APP-DEV-01,Linux,176160,Jenkins Multiple Vulnerabilities,Vulnerability,5,8080,TCP,"CVE-2023-27898,CVE-2023-27905",10.0,9.8,The Jenkins version installed on the remote host is affected by multiple critical vulnerabilities including a cross-site scripting via a crafted URL and a remote code execution via a crafted request.,Remote code execution on the Jenkins server.,Upgrade Jenkins to version 2.375.3 LTS or 2.395 or later.,2026-01-05,2026-05-27,Web Application
10.10.2.50,app-dev-01.meridian.gov,APP-DEV-01,Linux,160428,Docker Registry Unauthenticated Access,Vulnerability,5,2375,TCP,,10.0,9.8,The Docker registry on the remote host does not require authentication. An attacker can pull or push arbitrary container images.,System compromise through malicious containers.,Configure Docker to require TLS authentication.,2026-02-15,2026-05-27,Web Application
10.10.2.50,app-dev-01.meridian.gov,APP-DEV-01,Linux,370548,Oracle Java Multiple Vulnerabilities,Vulnerability,3,0,TCP,"CVE-2022-21619,CVE-2022-21626",5.0,6.8,Multiple vulnerabilities in Oracle Java SE prior to 8u341 / 11.0.16 / 17.0.4.,Code execution and information disclosure.,Update Java to the latest patched release.,2026-03-10,2026-05-27,Local
10.10.1.30,storage-01.meridian.gov,STORAGE-01,Linux,57607,Samba Server Heap Buffer Overflow (CVE-2021-44142),Vulnerability,5,445,TCP,CVE-2021-44142,9.0,9.9,The version of Samba installed on the remote host contains a heap-based buffer overflow in the VFS module for Apple filing protocol support.,Remote code execution as root without authentication.,Upgrade Samba to 4.13.17 / 4.14.12 / 4.15.5 or later.,2026-01-25,2026-05-27,Samba
10.10.1.30,storage-01.meridian.gov,STORAGE-01,Linux,35821,NFS Share Exported to the World,Vulnerability,4,2049,TCP,,9.4,9.1,The remote host is exporting NFS shares that can be mounted by any host on the network.,Unauthorized read/write access to sensitive file data.,Restrict NFS exports to only trusted hosts.,2025-08-01,2026-05-27,Firewalls
10.10.1.30,storage-01.meridian.gov,STORAGE-01,Linux,10079,FTP Anonymous Login Allowed,Vulnerability,3,21,TCP,,5.0,6.5,The remote host allows anonymous FTP connections. An attacker may use this to retrieve files from or store files on the server.,Unauthorized data access.,Disable anonymous FTP access.,2025-09-01,2026-05-27,FTP
10.10.1.40,monitor-01.meridian.gov,MONITOR-01,Linux,156879,Grafana Path Traversal (CVE-2021-43798),Vulnerability,4,3000,TCP,CVE-2021-43798,5.0,7.5,The version of Grafana installed on the remote host is 8.x prior to 8.3.2 and is affected by a directory traversal vulnerability.,Arbitrary file read without authentication.,Upgrade Grafana to version 8.3.2 or later.,2026-02-20,2026-05-27,Web Application
10.10.1.40,monitor-01.meridian.gov,MONITOR-01,Linux,127289,Elasticsearch Unauthenticated Access,Vulnerability,5,9200,TCP,,9.4,9.1,The Elasticsearch instance is accessible without any authentication. All indexed data can be read and modified.,Full read/write access to search indices and potentially sensitive data.,Enable Elasticsearch security features and require authentication.,2026-01-01,2026-05-27,Database
10.10.1.50,mail-01.meridian.gov,MAIL-01,Linux,46182,Exim Multiple Vulnerabilities (21Nails),Vulnerability,5,25,TCP,"CVE-2020-28017,CVE-2020-28020,CVE-2020-28026",10.0,9.8,The version of Exim installed on the remote host is prior to 4.94.2 and is affected by 21 vulnerabilities collectively known as 21Nails. Several allow remote code execution.,Remote code execution as root without authentication.,Upgrade Exim to version 4.94.2 or later.,2026-01-05,2026-05-27,SMTP
10.10.1.50,mail-01.meridian.gov,MAIL-01,Linux,12217,Open Mail Relay,Vulnerability,4,25,TCP,,5.0,7.5,The remote SMTP server relays messages to any third-party domain. This can allow spammers to use the server to send bulk email.,Blacklisting and mail relay abuse.,Configure the SMTP server to reject relaying for external senders.,2025-07-01,2026-05-27,SMTP
